bar_in,bar_out,direction,entry,exit,tp,sl,rr,outcome,net_pnl,equity,modal_used,partial_bar,partial_pnl,partial_price,partial_ratio
16386,16394,SHORT,6.846575,6.833415,6.66,7.033296490778691,1.0,GUARDIAN_MOMENTUM_EXIT,0.0561,104.4658,10.0,,0.0,,
16414,16417,LONG,7.0335149999999995,6.8665650000000005,7.2754564330650595,6.719514641733736,0.77,GUARDIAN_EXIT,-1.2268,103.239,10.0,,0.0,,
16416,16418,LONG,7.0335149999999995,6.8565700000000005,7.252751009724422,6.725190997568895,0.71,GUARDIAN_EXIT,-1.2979,101.9411,10.0,,0.0,,
16430,16433,SHORT,6.886555,6.893444999999999,6.6,7.108401201851001,1.29,GUARDIAN_EXIT,-0.09,101.8511,10.0,,0.0,,
16469,16471,LONG,6.993495,7.126435,7.143207842246867,6.842571789438283,0.99,GUARDIAN_MOMENTUM_EXIT,0.9105,102.7616,10.0,,0.0,,
16617,16653,LONG,6.293145,6.2899984275000005,6.551280160381469,5.935466209904633,0.72,TIMEOUT_MOMENTUM,0.1336,102.8952,10.0,16619.0,0.1761,6.33683,0.5
16780,16782,LONG,7.833914999999999,7.826085000000001,8.14744547334636,7.57161738166341,1.2,GUARDIAN_EXIT,-0.09,102.8052,10.0,,0.0,,
16830,16866,SHORT,7.65617,7.659998085,7.37,7.906494871368154,1.14,TIMEOUT_MOMENTUM,0.1636,102.9688,10.0,16835.0,0.2061,7.593795,0.5
16992,17007,SHORT,7.996,8.347184189162734,7.663949268714704,8.343012682821323,0.96,LOSS,-0.8691,102.0997,10.0,16996.0,0.2589,7.913955,0.5
16993,17007,SHORT,8.01599,8.34744929727437,7.68287936621941,8.343277658445148,1.02,LOSS,-0.7432,101.3565,10.0,16996.0,0.3206,7.913955,0.5
16995,16997,SHORT,8.09595,7.84392,7.76,8.339795219009911,1.38,GUARDIAN_EXIT,1.5165,102.873,10.0,,0.0,,
17024,17030,SHORT,8.65567,8.32416,8.325836151147628,8.932458462213093,1.19,GUARDIAN_MOMENTUM_EXIT,1.875,104.748,10.0,,0.0,,
17025,17030,SHORT,8.665665,8.32416,8.350475664327945,8.928797333918013,1.2,GUARDIAN_MOMENTUM_EXIT,1.9304,106.6784,10.0,,0.0,,
17101,17105,LONG,7.973984999999999,7.71614,8.290066315816574,7.670979671045856,1.04,GUARDIAN_EXIT,-1.6568,105.0217,10.0,,0.0,,
17250,17255,LONG,9.134565,9.135430000000001,9.467100715500118,8.885163213374913,1.33,GUARDIAN_EXIT,-0.0353,104.9864,10.0,,0.0,,
17253,17257,SHORT,9.255370000000001,9.054525,8.984963787569258,9.537601553107686,0.96,GUARDIAN_EXIT,1.045,106.0314,10.0,,0.0,,
17254,17287,SHORT,9.215390000000001,9.539355306699674,8.95703794922669,9.534588012693328,0.81,LOSS,-0.7415,105.2899,10.0,17256.0,0.1674,9.154575,0.5
17282,17285,LONG,8.714355000000001,9.255370000000001,8.93189293530047,8.485615516174882,0.95,GUARDIAN_MOMENTUM_EXIT,3.0642,108.3541,10.0,,0.0,,
17283,17285,LONG,8.714355000000001,9.255370000000001,8.92,8.518866780684899,1.05,GUARDIAN_MOMENTUM_EXIT,3.0642,111.4183,10.0,,0.0,,
17419,17453,LONG,8.754375,8.555102509891762,8.996846196030964,8.559382200992259,1.24,LOSS,-0.4502,110.968,10.0,17429.0,0.1488,8.805595,0.5
17420,17429,LONG,8.794394999999998,8.805595,9.060536703226832,8.55346457419329,1.1,GUARDIAN_EXIT,0.0237,110.9917,10.0,,0.0,,
17599,17635,LONG,7.573785,7.5699981075,7.821382931250985,7.328100517187253,1.01,TIMEOUT,0.1331,111.1248,10.0,17607.0,0.1756,7.626185,0.5
